patch_lon,patch_lat,patchclass,T_eff_wilheit_H,T_eff_wilheit_V,T_eff_lv_multi,T_eff_lv_two,T_eff_wigneron,T_eff_holmes2006,T_eff_wigneron2008,depth_90_lv_multi,t_surf,wc_surf,clay_surf,mvt_surf,sand_surf,bd_surf,t_deep,t_soi_max,eps_surf_real,eps_surf_imag,C_lv_two,C_holmes2006,C_inverted_wilheit,b_param_inverted,dz_surf_inverted,t_soi_layer_1,t_soi_layer_2,t_soi_layer_3,t_soi_layer_4,t_soi_layer_5,t_soi_layer_6,t_soi_layer_7,t_soi_layer_8,t_soi_layer_9,t_soi_layer_10
127.62146648636954,-14.609283695838478,10,311.71313,311.71313,303.04254,302.4087,305.1804,305.93707,304.81436,0.08318041,306.44818,0.112697035,0.10858651,0.028963067,0.6206786,1450.7894,301.46698,311.71313,6.7322173,0.4108732,0.18905276,0.8973955,2.0569646,3.699892e-05,2.4775274,311.71313,303.1099,301.45453,300.8029,301.2147,301.646,301.42758,301.5427,301.9024,301.89288
127.85826058084962,-14.642818801384427,7,311.3855,311.3855,303.14865,302.302,305.15735,305.84708,304.7555,0.08156873,306.3554,0.12122818,0.12989773,0.029028434,0.5818502,1436.5781,301.32196,311.3855,7.1248045,0.43679127,0.19470495,0.89900976,1.999333,3.7623515e-05,2.3975062,311.3855,303.16602,301.56876,300.9698,301.35687,301.65762,301.32104,301.32373,301.52368,301.369
128.08851946460408,-14.688769649842914,10,312.59543,312.59543,304.68805,303.3551,306.37927,307.20905,305.9756,0.08456216,307.78137,0.11115864,0.1451149,0.02907511,0.52751386,1437.1256,302.3381,312.59543,6.651695,0.403096,0.18683922,0.8948587,1.8844056,3.6056103e-05,2.5101802,312.59543,304.729,303.4491,302.98593,303.2143,303.11014,302.3735,302.27002,302.48306,302.15137
128.15416583211586,-14.697915951337393,16,314.32166,314.32166,305.96606,304.6796,307.7237,308.68558,307.35773,0.08824228,309.30527,0.09987877,0.114010364,0.028979704,0.5700518,1458.1497,303.67767,314.32166,6.14632,0.36731336,0.17803848,0.88988245,1.8913913,3.433266e-05,2.6480007,314.32166,306.1246,304.77628,304.3265,304.64584,304.71252,303.8784,303.29178,303.1932,302.73782
127.4648808014609,1.107439652990759,13,316.94907,316.94907,305.97324,304.22617,308.66718,309.17963,307.80942,0.07455455,309.9231,0.15919912,0.3073437,0.029572714,0.21960276,1243.8502,302.66815,316.94907,8.954092,0.54666764,0.2147519,0.8975212,1.968439,3.7046873e-05,2.1475072,316.94907,305.46823,303.19995,302.5514,303.32462,303.49234,302.819,302.37817,302.2239,302.1651
164.71041666666665,-20.98958333333332,1,309.54654,309.54654,301.84195,299.25638,303.08945,303.85043,302.4492,0.076529354,304.42023,0.14096195,0.37175184,0.029770274,0.22667792,1362.4001,297.85654,309.54654,8.084375,0.5153938,0.2132715,0.9131899,1.7810107,4.4107357e-05,2.1643689,309.54654,301.16983,298.98923,297.16052,296.72977,297.45108,297.99167,297.59674,296.79614,296.16147
164.60703671409257,-20.90139983359431,10,313.54538,313.54538,303.41962,300.54745,304.74295,306.64487,304.19623,0.10175064,307.5127,0.0787349,0.38297412,0.029804695,0.23398536,1347.966,299.13367,313.54538,5.2640195,0.32040223,0.16872895,0.89642763,1.7199742,3.663376e-05,2.80938,313.54538,303.68762,300.7658,298.3814,297.98883,298.87793,299.2994,298.81503,297.8814,297.10248
164.63621926116872,-20.902213539779314,12,314.18332,314.18332,304.31818,300.70642,305.9637,306.85672,305.06967,0.07888284,307.7025,0.14487201,0.3814689,0.02980008,0.232603,1348.3815,298.83923,314.18332,8.244748,0.5133044,0.21066523,0.90457183,1.731197,3.993728e-05,2.1946282,314.18332,303.59335,300.8033,298.2641,297.7093,298.63742,299.04068,298.452,297.50375,296.74707
170.76401566718144,-45.51211990358841,10,302.16888,302.16888,291.30002,285.6287,290.73584,296.48544,290.32416,0.19723861,298.08087,0.027900279,0.3042078,0.029563095,0.20216615,1316.3171,283.66766,302.16888,3.4310033,0.20471162,0.13605827,0.8893087,1.2836297,3.414391e-05,3.5498936,302.16888,295.48886,290.87402,287.26532,285.7819,284.76834,284.02145,282.98758,281.90704,281.1029
130.13230539486142,-17.1310294113596,7,317.6349,317.6349,306.99786,304.20712,309.28934,310.12073,308.513,0.08014952,311.06622,0.13818623,0.18161835,0.029187078,0.46045652,1417.3613,302.50262,317.6349,7.8891673,0.47108132,0.19904006,0.88958997,1.7670449,3.423621e-05,2.3391979,317.6349,306.9013,304.88275,303.99792,304.32245,304.06677,302.60663,302.30273,302.52393,302.135
